OGID	esc,pips1,mef48,mef
OG193_0	1700040L02Rik,1700040L02Rik_pips1,1700040L02Rik_mef48,1700040L02Rik_mef
OG194_0	1700042O10Rik,1700042O10Rik_pips1,1700042O10Rik_mef48,1700042O10Rik_mef
OG195_0	1700047G07Rik,1700047G07Rik_pips1,1700047G07Rik_mef48,1700047G07Rik_mef
OG196_0	1700047I17Rik2,1700047I17Rik2_pips1,1700047I17Rik2_mef48,1700047I17Rik2_mef
OG197_0	1700048O20Rik,1700048O20Rik_pips1,1700048O20Rik_mef48,1700048O20Rik_mef
OG198_0	1700049E17Rik2,1700049E17Rik2_pips1,1700049E17Rik2_mef48,1700049E17Rik2_mef
OG199_0	1700049G17Rik,1700049G17Rik_pips1,1700049G17Rik_mef48,1700049G17Rik_mef
OG200_0	1700052N19Rik,1700052N19Rik_pips1,1700052N19Rik_mef48,1700052N19Rik_mef
OG201_0	1700054N08Rik,1700054N08Rik_pips1,1700054N08Rik_mef48,1700054N08Rik_mef
OG202_0	1700054O19Rik,1700054O19Rik_pips1,1700054O19Rik_mef48,1700054O19Rik_mef
OG203_0	1700056E22Rik,1700056E22Rik_pips1,1700056E22Rik_mef48,1700056E22Rik_mef
OG204_0	1700057K13Rik,1700057K13Rik_pips1,1700057K13Rik_mef48,1700057K13Rik_mef
OG205_0	1700061G19Rik,1700061G19Rik_pips1,1700061G19Rik_mef48,1700061G19Rik_mef
OG206_0	1700063H04Rik,1700063H04Rik_pips1,1700063H04Rik_mef48,1700063H04Rik_mef
OG207_0	1700064E03Rik,1700064E03Rik_pips1,1700064E03Rik_mef48,1700064E03Rik_mef
OG208_0	1700066M21Rik,1700066M21Rik_pips1,1700066M21Rik_mef48,1700066M21Rik_mef
OG209_0	1700067K01Rik,1700067K01Rik_pips1,1700067K01Rik_mef48,1700067K01Rik_mef
OG210_0	1700069B07Rik,1700069B07Rik_pips1,1700069B07Rik_mef48,1700069B07Rik_mef
OG211_0	1700080G11Rik,1700080G11Rik_pips1,1700080G11Rik_mef48,1700080G11Rik_mef
OG212_0	1700081L11Rik,1700081L11Rik_pips1,1700081L11Rik_mef48,1700081L11Rik_mef
